Gmt time,Open,High,Low,Close,Volume
26.08.2022 00:00:00.000,21531,21830,20052,20176,1255.909
27.08.2022 00:00:00.000,20176,20316,19786,19999,1059.981
28.08.2022 00:00:00.000,19999,20123,19488,19519,223.7985
29.08.2022 00:00:00.000,19522,20379,19511,20259,581.343
30.08.2022 00:00:00.000,20259,20534,19516,19775,714.6945
31.08.2022 00:00:00.000,19776,20442,19770,20015,867.022
01.09.2022 00:00:00.000,20015,20166,19540,20091,700.468
02.09.2022 00:00:00.000,20091,20399,19723,19894,1251.496
03.09.2022 00:00:00.000,19894,19990,19616,19793,456.0238
04.09.2022 00:00:00.000,19793,19985,19551,19964,624.0729
05.09.2022 00:00:00.000,19964,20015,19608,19755,470.4664
06.09.2022 00:00:00.000,19755,20140,18639,18754,790.761
07.09.2022 00:00:00.000,18754,19422,18515,19253,742.7744
08.09.2022 00:00:00.000,19253,19414,18991,19283,342.0106
09.09.2022 00:00:00.000,19284,21551,19262,21302,989.522
10.09.2022 00:00:00.000,21302,21763,21092,21613,1331.665
11.09.2022 00:00:00.000,21613,21817,21320,21798,913.4428
12.09.2022 00:00:00.000,21796,22439,21515,22360,1312.192
13.09.2022 00:00:00.000,22360,22738,19846,20137,1595.629
14.09.2022 00:00:00.000,20137,20485,19591,20192,794.74
15.09.2022 00:00:00.000,20191,20294,19493,19664,1279.32
16.09.2022 00:00:00.000,19664,19851,19301,19741,535.6075
17.09.2022 00:00:00.000,19743,20143,19708,20078,700.302
18.09.2022 00:00:00.000,20078,20079,19315,19380,1091.414
19.09.2022 00:00:00.000,19381,19641,18233,19502,1216.8829
20.09.2022 00:00:00.000,19502,19596,18711,18841,728.5574
21.09.2022 00:00:00.000,18838,19845,18140,18431,1028.1637
22.09.2022 00:00:00.000,18431,19465,18334,19368,1021.569
23.09.2022 00:00:00.000,19369,19453,18501,19224,747.507
24.09.2022 00:00:00.000,19226,19247,18777,18889,67.4465
25.09.2022 00:00:00.000,18889,19130,18604,18773,137.4557
26.09.2022 00:00:00.000,18773,19274,18653,19190,1272.302
27.09.2022 00:00:00.000,19190,20337,18797,19042,957.0997
28.09.2022 00:00:00.000,19044,19730,18453,19372,1628.055
29.09.2022 00:00:00.000,19372,19604,18811,19555,2004.4701
30.09.2022 00:00:00.000,19557,20142,19139,19365,952.632
01.10.2022 00:00:00.000,19365,19422,19129,19273,50.4224
02.10.2022 00:00:00.000,19273,19355,18893,19023,107.545
03.10.2022 00:00:00.000,19023,19669,18935,19596,281.7937
04.10.2022 00:00:00.000,19596,20424,19466,20311,1194.9248
05.10.2022 00:00:00.000,20311,20331,19713,20126,1389.9769
06.10.2022 00:00:00.000,20126,20408,19832,19925,261.8775
07.10.2022 00:00:00.000,19925,20018,19297,19470,419.7599
08.10.2022 00:00:00.000,19470,19566,19216,19377,338.138
09.10.2022 00:00:00.000,19377,19517,19289,19407,48.073
10.10.2022 00:00:00.000,19407,19487,19013,19096,132.968
11.10.2022 00:00:00.000,19096,19225,18828,19021,147.6763
12.10.2022 00:00:00.000,19021,19192,18942,19118,726.9809
13.10.2022 00:00:00.000,19118,19464,18153,19345,817.1791
14.10.2022 00:00:00.000,19345,19905,19014,19114,950.3028
15.10.2022 00:00:00.000,19116,19164,18958,19030,1137.877
16.10.2022 00:00:00.000,19030,19383,19026,19227,1277.3565
17.10.2022 00:00:00.000,19227,19635,19125,19513,138.3715
18.10.2022 00:00:00.000,19546,19639,19292,19318,34.162
19.10.2022 00:00:00.000,19293,19322,19041,19088,86.7285
20.10.2022 00:00:00.000,19089,19304,18896,19010,130.3379
21.10.2022 00:00:00.000,19011,19209,18635,19105,511.8786
22.10.2022 00:00:00.000,19106,19215,19052,19167,14.7415
23.10.2022 00:00:00.000,19168,19652,19043,19535,54.5828
24.10.2022 00:00:00.000,19535,19559,19134,19294,333.5019
25.10.2022 00:00:00.000,19294,20375,19208,20048,1266.935
26.10.2022 00:00:00.000,20046,20979,20024,20741,1026.4519
27.10.2022 00:00:00.000,20741,20836,20171,20254,317.9884
28.10.2022 00:00:00.000,20254,20711,19985,20534,1061.4874
29.10.2022 00:00:00.000,20534,21034,20497,20779,1493.966
30.10.2022 00:00:00.000,20778,20890,20459,20590,1611.19
31.10.2022 00:00:00.000,20589,20797,20208,20458,1066.8981
01.11.2022 00:00:00.000,20458,20646,20298,20447,171.2657
02.11.2022 00:00:00.000,20448,20763,20025,20114,648.4182
03.11.2022 00:00:00.000,20114,20350,20008,20170,1218.542
